SL,HHNO,HOUSING_TYPE,HH_INCOME,BUSINESS_P_NO,EMPLOYED_P_NO,UNEMPLOYED_P_NO,CAR_OWN,MC_OWN
3415,1227,1,1,1,0,1,0,0
3417,1228,1,2,1,0,2,0,1
3420,1229,1,2,1,0,2,0,0
3423,1230,2,2,0,1,2,0,0
3426,1231,1,1,0,0,3,0,0
3429,1232,3,2,1,0,2,0,1
3432,1233,2,1,0,1,1,0,0
3434,1234,1,2,0,0,3,0,0
3437,1235,1,2,0,1,4,0,0
3442,1236,2,4,0,2,0,1,0
3444,1237,1,2,1,0,1,0,0
3446,1238,1,1,0,1,1,0,0
3448,1239,1,3,1,0,2,0,0
3451,1240,1,2,1,0,1,0,0
3453,1241,1,1,1,0,2,0,0
3456,1242,3,4,2,0,1,0,1
3459,1243,2,2,1,0,3,0,1
3463,1244,1,2,1,0,2,0,1
3466,1245,3,4,0,1,2,0,0
3469,1246,1,1,0,1,2,0,0
3472,1247,3,4,0,1,2,0,0
3475,1248,3,4,0,1,1,1,0
3477,1249,1,2,1,0,2,0,0
3480,1250,1,2,1,0,2,0,0
3483,1251,1,1,0,1,1,0,0
3485,1252,3,2,1,0,2,0,0
3488,1253,2,2,0,1,4,0,0
3493,1254,2,3,0,1,1,0,0
3495,1255,1,3,1,0,1,0,0
3497,1256,2,2,0,2,0,0,1
3499,1257,1,2,1,0,0,0,0
3500,1258,1,2,0,1,2,0,0
3503,1259,2,3,0,1,1,0,0
3505,1260,2,3,1,1,1,0,0
3508,1261,1,2,0,1,1,0,0
3510,1262,2,2,1,0,1,0,0
3512,1263,2,2,0,1,1,0,0
3514,1264,1,2,1,0,1,0,0
3516,1265,2,3,0,1,2,0,0
3519,1266,3,4,1,0,1,1,0
3521,1267,3,3,1,0,2,1,1
3524,1268,3,4,1,0,2,1,0
3527,1269,3,4,1,0,2,0,1
3530,1270,1,1,1,0,2,0,0
3533,1271,3,4,0,1,1,1,0
3535,1272,1,1,1,0,2,0,0
3538,1273,1,1,1,0,3,0,0
3542,1274,3,4,1,0,4,0,1
3547,1275,2,3,1,0,2,0,0
3550,1276,1,2,0,2,0,0,0
3552,1277,3,4,1,0,2,0,1
3555,1278,3,4,2,0,1,1,1
3558,1279,3,4,1,0,3,0,1
3562,1280,1,2,1,1,1,0,0
3565,1281,1,2,1,0,2,0,0
3568,1282,2,3,1,0,4,0,0
3573,1283,1,2,2,0,2,0,0
3577,1284,1,2,0,1,1,0,0
3579,1285,3,4,2,0,1,1,1
3582,1286,3,4,0,1,1,1,0
3584,1287,1,2,1,0,2,0,1
3587,1288,3,3,1,1,1,0,0
3590,1289,1,3,2,0,1,0,0
3593,1290,2,3,1,0,2,0,1
3596,1291,3,3,1,0,1,0,0
3598,1292,1,1,1,0,2,0,0
3601,1293,1,2,0,1,4,0,0
3606,1294,1,3,0,1,2,0,0
3609,1295,1,1,0,1,1,0,0
3611,1296,3,3,1,0,2,0,0
3614,1297,2,3,1,0,3,0,0
3618,1298,3,4,2,0,1,1,1
3621,1299,3,4,1,0,2,0,0
3624,1300,1,2,0,2,1,0,0
3627,1301,1,1,0,1,1,0,0
3629,1302,3,3,1,0,3,0,1
3633,1303,3,4,1,0,2,1,0
3636,1304,3,3,0,1,2,0,1
3639,1305,3,3,1,0,2,0,0
3642,1306,2,2,1,0,1,0,0
3644,1307,3,3,1,0,1,0,1
3646,1308,3,4,1,1,2,0,0
3650,1309,3,4,1,0,1,1,0
3652,1310,3,2,1,0,1,0,0
3654,1311,1,3,1,0,1,0,0
3656,1312,2,3,0,1,2,0,1
3659,1313,3,2,1,0,1,0,0
3661,1314,2,3,1,0,2,0,0
3664,1315,2,3,0,1,3,0,0
3668,1316,1,1,0,1,2,0,0
3671,1317,1,2,0,0,3,0,0
3674,1318,2,3,1,0,4,0,0
3679,1319,1,1,0,1,1,0,0
3681,1320,1,1,0,1,1,0,0
3683,1321,1,1,0,1,2,0,0
3686,1322,1,2,0,1,2,0,0
3689,1323,2,2,1,0,2,0,1
3692,1324,1,2,1,0,2,0,0
3695,1325,1,2,1,0,2,0,0
3698,1326,3,3,1,0,2,1,0
3701,1327,2,2,0,1,2,0,0
3704,1328,2,2,2,0,1,0,0
3707,1329,2,3,1,0,1,0,0
3709,1330,2,1,0,1,1,0,0
3711,1331,3,4,1,0,1,1,0
3713,1332,2,2,1,0,2,0,0
3716,1333,2,2,0,1,2,0,0
3719,1334,2,2,1,0,1,1,0
3721,1335,2,1,0,1,2,0,0
